,abstract,pmid,pubdate,title
569,"Once-daily Truvada (Emtricitabine/Tenofovir) as a method of pre-exposure prophylaxis (PrEP) is one of the most promising biomedical interventions to eliminate new HIV infections; however, uptake among gay, bisexual, and other men who have sex with men has been slow amidst growing concern in popular/social media that PrEP use will result in reduced condom use (i.e., risk compensation). We investigated demographic, behavioral, and psychosocial differences in willingness to use PrEP as well as the perceived impact of PrEP on participants' condom use in a sample of 206 highly sexually active HIV-negative gay and bisexual men. Nearly half (46.1 %) said they would be willing to take PrEP if it were provided at no cost. Although men willing to take PrEP (vs. others) reported similar numbers of recent casual male partners (<6 weeks), they had higher odds of recent receptive condomless anal sex (CAS)-i.e., those already at high risk of contracting HIV were more willing to take PrEP. Neither age, race/ethnicity, nor income were associated with willingness to take PrEP, suggesting equal acceptability among subpopulations that are experiencing disparities in HIV incidence. There was limited evidence to suggest men would risk compensate. Only 10 % of men who had not engaged in recent CAS felt that PrEP would result in them starting to have CAS. Men who had not tested for HIV recently were also significantly more likely than others to indicate willingness to take PrEP. Offering PrEP to men who test infrequently may serve to engage them more in routine HIV/STI testing and create a continued dialogue around sexual health between patient and provider in order to prevent HIV infection.",25735243,2015,Willingness to Take PrEP and Potential for Risk Compensation Among Highly Sexually Active Gay and Bisexual Men.
570,"This study investigated the stability of extreme response style (ERS) and acquiescence response style (ARS) over a period of 8 years. ERS and ARS were measured with item sets drawn randomly from a large pool of items used in an ongoing German panel study. Latent-trait-state-occasion and latent-state models were applied to test the relationship between time-specific (state) response style behaviors and time-invariant trait components of response styles. The results show that across different random item samples, on average between 49% and 59% of the variance in the state response style factors was explained by the trait response style factors. This indicates that the systematic differences respondents show in their preferences for certain response categories are remarkably stable over a period of 8 years. The stability of ERS and ARS implies that it is important to consider response styles in the analysis of self-report data from polytomous rating scales, especially in longitudinal studies aimed at investigating stability in substantive traits. Furthermore, the stability of response styles raises the question in how far they might be considered trait-like latent variables themselves that could be of substantive interest.",25986062,2016,The Stability of Extreme Response Style and Acquiescence Over 8 Years.
571,"Dyslexia is a learning disability characterized by difficulty learning to read and write. The underlying biological and genetic etiology remains poorly understood. One candidate gene, dyslexia susceptibility 1 candidate 1 (DYX1C1), has been shown to be associated with deficits in short-term memory in dyslexic populations. The purpose of the current study was to examine the behavioral phenotype of a mouse model with a homozygous conditional (forebrain) knockout of the rodent homolog Dyx1c1. Twelve Dyx1c1 conditional homozygous knockouts, 7 Dyx1c1 conditional heterozygous knockouts and 6 wild-type controls were behaviorally assessed. Mice with the homozygous Dyx1c1 knockout showed deficits on memory and learning, but not on auditory or motor tasks. These findings affirm existing evidence that DYX1C1 may play an underlying role in the development of neural systems important to learning and memory, and disruption of this function could contribute to the learning deficits seen in individuals with dyslexia.",25989970,2017,Deficits in learning and memory in mice with a mutation of the candidate dyslexia susceptibility gene Dyx1c1.
572,"Extant theory posits well-differentiated dimensions of perceived social support as measured using the Social Provisions Scale (SPS). However, evidence is inconsistent with this multidimensionality perspective, with SPS factor correlations near unity and higher between-factor than within-factor item correlations. This article reports on research investigating the internal structure, gender invariance, and predictive validity of SPS scores. The analyses are conducted in a novel bifactor exploratory structural equation modeling (ESEM) framework, which is designed to account for presumed psychometric multidimensionality in SPS items due to (a) their fallibility as pure indicators of the constructs they are purported to measure and (b) the coexistence of general and specific factors. Based on 376 item responses, evidence was obtained for a bifactor-ESEM representation of the SPS data. In addition, support was found for the invariance of item thresholds and the latent mean invariance of six of the seven SPS factors in the retained solution. Only mean levels of Social Integration were found to differ by gender, with men scoring higher than women. Finally, evidence was obtained for the predictive validity of SPS scores with respect to loneliness and psychological well-being. Quite apart from yielding evidence validating the SPS, this research demonstrates the utility of bifactor ESEM for psychological assessment.",26063712,2016,Construct Validity of the Social Provisions Scale: A Bifactor Exploratory Structural Equation Modeling Approach.
573,"Using 8-year panel data for 1,355 older adults in rural Anhui province, China, this study examined the trajectories and determinants of elder care provided by adult children to their older parents. The results of two-level latent variable growth models showed that trajectories of elder care differed by the gender of children, with an increase in care from sons but a decrease in care from daughters over time. Children's life stages influenced their care provision but differed by gender. Functional impairment of parents and care provided by siblings in the family also affected the care provided by each child. The findings reflect the patrilineal nature of Chinese family systems and demonstrate the linkages between critical life events and caregiving behaviors of adult children. Findings of this study can inform the formulation of elder care policies that meet the needs of families with different structures and at different life stages.",26133805,2016,Trajectories and Determinants of Elder Care in Rural China During an 8-Year Period: Why Having Sons Makes a Difference.
574,"Noncommunicable diseases (NCDs) have become the primary health concern for most countries around the world. Currently, more than 36 million people worldwide die from NCDs each year, accounting for 63% of annual global deaths; most are preventable. The global financial burden of NCDs is staggering, with an estimated 2010 global cost of $6.3 trillion (US dollars) that is projected to increase to $13 trillion by 2030. A number of NCDs share one or more common predisposing risk factors, all related to lifestyle to some degree: (1) cigarette smoking, (2) hypertension, (3) hyperglycemia, (4) dyslipidemia, (5) obesity, (6) physical inactivity, and (7) poor nutrition. In large part, prevention, control, or even reversal of the aforementioned modifiable risk factors are realized through leading a healthy lifestyle (HL). The challenge is how to initiate the global change, not toward increasing documentation of the scope of the problem but toward true action-creating, implementing, and sustaining HL initiatives that will result in positive, measurable changes in the previously defined poor health metrics. To achieve this task, a paradigm shift in how we approach NCD prevention and treatment is required. The goal of this American Heart Association/European Society of Cardiology/European Association for Cardiovascular Prevention and Rehabilitation/American College of Preventive Medicine policy statement is to define key stakeholders and highlight their connectivity with respect to HL initiatives. This policy encourages integrated action by all stakeholders to create the needed paradigm shift and achieve broad adoption of HL behaviors on a global scale.",26143646,2015,"Healthy Lifestyle Interventions to Combat Noncommunicable Disease—A Novel Nonhierarchical Connectivity Model for Key Stakeholders: A Policy Statement From the American Heart Association, European Society of Cardiology, European Association for Cardiovascular Prevention and Rehabilitation, and American College of Preventive Medicine."
575,"One aspect of higher order social cognition is empathy, a psychological construct comprising a cognitive (recognizing emotions) and an affective (responding to emotions) component. The complex nature of empathy complicates the accurate measurement of these components. The most widely used measure of empathy is the Interpersonal Reactivity Index (IRI). However, the factor structure of the IRI as it is predominantly used in the psychological literature differs from Davis's original four-factor model in that it arbitrarily combines the subscales to form two factors: cognitive and affective empathy. This two-factor model of the IRI, although popular, has yet to be examined for psychometric support. In the current study, we examine, for the first time, the validity of this alternative model. A confirmatory factor analysis showed poor model fit for this two-factor structure. Additional analyses offered support for the original four-factor model, as well as a hierarchical model for the scale. In line with previous findings, females scored higher on the IRI than males. Our findings indicate that the IRI, as it is currently used in the literature, does not accurately measure cognitive and affective empathy and highlight the advantages of using the original four-factor structure of the scale for empathy assessments.",26253573,2016,Assessing Cognitive and Affective Empathy Through the Interpersonal Reactivity Index: An Argument Against a Two-Factor Model.
576,"Given the heightened risk for HIV and other STIs among young men who have sex with men (YMSM) as well as the racial/ethnic disparities in HIV/STI risk, an understanding of longitudinal trends in sexual behaviors is warranted as YMSM emerge into adulthood. Drawing from an ongoing prospective cohort study, the present analysis employed latent growth curve modeling to examine trends in distinct types of sexual activity without condoms over time in sample of YMSM and examine differences by race/ethnicity and perceived familial socioeconomic status (SES). Overall, White and Mixed race YMSM reported more instances of oral sex without condoms as compared to other racial/ethnic groups with rates of decline over time noted in Black YMSM. White YMSM also reported more receptive and insertive anal sex acts without a condom than Black YMSM. Declines over time in both types of anal sex acts without condoms among Black men were noted when compared to White men, while increases over time were noted for mixed race YMSM for condomless insertive anal sex. The effects for race/ethnicity were attenuated with the inclusion of perceived familial SES in these models. These findings build on previous cross sectional studies showing less frequent sex without condoms among Black YMSM despite higher rates of HIV incidence in emerging adulthood, as well as the importance of considering economic conditions in such models. Efforts to understand racial/ethnic disparities in HIV/STIs among YMSM must move beyond examination of individual-level sexual behaviors and consider both race/ethnicity and socioeconomic conditions in order to evaluate how these factors shape the sexual behaviors of YMSM.",26319222,2015,Longitudinal Trends in Sexual Behaviors Without a Condom Among Sexual Minority Youth: The P18 Cohort Study.
577,"OBJECTIVE
The present study is based upon a multidimensional model of successful aging. It aims to identify subgroups of centenarians sharing communalities in successful aging profiles, and determine the role of sociodemographic factors and psychological, social, and economic resources on successful aging.


METHODS
A total of 80 centenarians were face-to-face interviewed. A cluster analysis was performed to identify distinct groups of successful aging, and logistic regression models were performed considering the cluster membership as dependent covariate.


RESULTS
Two distinct clusters were grouped, with 40 centenarians in each, one of them presenting better results in all domains. Male sex and better income adequacy were the best predictors of successful aging.


CONCLUSION
Results help to identity different patterns of successful aging and provide greater clarity regarding its correlates, increasing current understanding of its modifiable aspects.",26334964,2016,Predicting Successful Aging at One Hundred Years of Age.
578,"Relationships with children are important for parents' psychological well-being, yet limited research addresses whether and how relationships with adult children matter for aging parents' psychological well-being in mid- to later life. We used four waves of national longitudinal data (Americans' Changing Lives, N = 1,692) and growth curve models to test how multiple dimensions of the intergenerational relationship-social support, strain, equity, and dissatisfaction-shape mid- to later life parents' psychological distress over time. Results showed that social support and strain were associated with parents' distress at baseline but not over time, while relationship equity and dissatisfaction affected change in parents' psychological distress over time. Findings further showed how the effects of dissatisfaction varied for mothers and fathers. This study adds to an understanding of the social context of aging by drawing attention to how specific dimensions of the parent-child tie matter longitudinally for mid- to later life parents' psychological distress.",26334963,2016,"Parent-Child Relationships and Parent Psychological Distress: How Do Social Support, Strain, Dissatisfaction, and Equity Matter?"
579,"A growing area of interest and relevance in the study of autism spectrum disorder (ASD) focuses on the relationship between multisensory temporal function and the behavioral, perceptual, and cognitive impairments observed in ASD. Atypical sensory processing is becoming increasingly recognized as a core component of autism, with evidence of atypical processing across a number of sensory modalities. These deviations from typical processing underscore the value of interpreting ASD within a multisensory framework. Furthermore, converging evidence illustrates that these differences in audiovisual processing may be specifically related to temporal processing. This review seeks to bridge the connection between temporal processing and audiovisual perception, and to elaborate on emerging data showing differences in audiovisual temporal function in autism. We also discuss the consequence of such changes, the specific impact on the processing of different classes of audiovisual stimuli (e.g. speech vs. nonspeech, etc.), and the presumptive brain processes and networks underlying audiovisual temporal integration. Finally, possible downstream behavioral implications, and possible remediation strategies are outlined. Autism Res 2016, 9: 720-738. © 2015 International Society for Autism Research, Wiley Periodicals, Inc.",26402725,2016,Keeping time in the brain: Autism spectrum disorder and audiovisual temporal processing.
580,"The uremic toxin p-cresol (4-methylphenol) is either of environmental origin or can be synthetized from tyrosine by cresol-producing bacteria present in the gut lumen. Elevated p-cresol amounts have been previously found in the urines of Italian and French autism spectrum disorder (ASD) children up until 8 years of age, and may be associated with autism severity or with the intensity of abnormal behaviors. This study aims to investigate the mechanism producing elevated urinary p-cresol in ASD. Urinary p-cresol levels were thus measured by High Performance Liquid Chromatography in a sample of 53 Italian ASD children assessed for (a) presence of Clostridium spp. strains in the gut by means of an in vitro fecal stool test and of Clostridium difficile-derived toxin A/B in the feces, (b) intestinal permeability using the lactulose/mannitol (LA/MA) test, (c) frequent use of antibiotics due to recurrent infections during the first 2 years of postnatal life, and (d) stool habits with the Bristol Stool Form Scale. Chronic constipation was the only variable significantly associated with total urinary p-cresol concentration (P < 0.05). No association was found with presence of Clostridium spp. in the gut flora (P = 0.92), augmented intestinal permeability (P = 0.18), or frequent use of antibiotics in early infancy (P = 0.47). No ASD child was found to carry C. difficile in the gut or to release toxin A/B in the feces. In conclusion, urinary p-cresol levels are elevated in young ASD children with increased intestinal transit time and chronic constipation. Autism Res 2016, 9: 752-759. © 2015 International Society for Autism Research, Wiley Periodicals, Inc.",26437875,2016,Slow intestinal transit contributes to elevate urinary p-cresol level in Italian autistic children.
581,"Planning impairment is often observed in children with high-functioning autism spectrum disorders (ASD), but attempts to differentiate planning in ASD from children with attention deficit hyperactivity disorder (ADHD) and typically developing children (TD) have yielded inconsistent results. This study examined differences between these groups by focusing on development and analyzing performance in searching ahead several steps (""search depth"") in addition to commonly used global performance measures in planning. A cross-sectional consecutive sample of 83 male patients (6-13 years), subgrouped as ASD without (ASD-, n = 18) or with comorbid ADHD (ASD+, n = 23), ADHD only (n = 42) and n = 42 TD children (6-13 years) were tested with the Tower-of-London-task. For global performance, ASD+ showed the lowest accuracy in younger children, but similar performance as TD at older ages, suggesting delayed development. Typically, a prolongation of planning time with increasing problem difficulty is observed in older children as compared to younger children. Here, this was most pronounced in ASD-, but under-expressed in ADHD. In contrast to global performance, effects of search depth were independent of age. ASD-, but not ASD+, showed increased susceptibility to raised demands on mentally searching ahead, along with the longest planning times. Thus, examining both global and search depth performance across ages revealed discernible patterns of planning between groups. Notably, the potentially detrimental impact of two diagnosed disorders does not add up in ASD+ in this task. Rather, our results suggest paradoxical enhancement of performance, ostensibly attributable to disruption of behavioral rigidity through increased impulsivity, which did not take place in ASD-. Autism Res 2016, 9: 739-751. © 2015 International Society for Autism Research, Wiley Periodicals, Inc.",26442805,2016,Development of Planning in Children with High-Functioning Autism Spectrum Disorders and/or Attention Deficit/Hyperactivity Disorder.
582,"Joint attention (JA) and spontaneous facial mimicry (SFM) are fundamental processes in social interactions, and they are closely related to empathic abilities. When tested independently, both of these processes have been usually observed to be atypical in individuals with autism spectrum conditions (ASC). However, it is not known how these processes interact with each other in relation to autistic traits. This study addresses this question by testing the impact of JA on SFM of happy faces using a truly interactive paradigm. Sixty-two neurotypical participants engaged in gaze-based social interaction with an anthropomorphic, gaze-contingent virtual agent. The agent either established JA by initiating eye contact or looked away, before looking at an object and expressing happiness or disgust. Eye tracking was used to make the agent's gaze behavior and facial actions contingent to the participants' gaze. SFM of happy expressions was measured by Electromyography (EMG) recording over the Zygomaticus Major muscle. Results showed that JA augments SFM in individuals with low compared with high autistic traits. These findings are in line with reports of reduced impact of JA on action imitation in individuals with ASC. Moreover, they suggest that investigating atypical interactions between empathic processes, instead of testing these processes individually, might be crucial to understanding the nature of social deficits in autism. Autism Res 2016, 9: 781-789. © 2015 The Authors Autism Research published by Wiley Periodicals, Inc. on behalf of International Society for Autism Research.",26442665,2016,Spontaneous Facial Mimicry is Modulated by Joint Attention and Autistic Traits.
583,"This article explores whether understanding of the effects of children's problems on older parents' well-being can be advanced by exploring differences in parent-child relationships within families. Using data from a study in which mothers reported on all adult children, we addressed the question: Do patterns of maternal favoritism moderate the impact of children's problems on psychological well-being? Based on the literature on the effects of children's problems and on parental favoritism, we hypothesized that problems in the lives of favored adult children will have a more detrimental impact than when they affect unfavored offspring. Results revealed strong and detrimental effects of any offspring's problems on mothers' well-being; these effects occurred, however, regardless of parental preference for an adult child. The findings suggest that the well-documented effects of parental preference may be limited in domains such as problems and difficult transitions in adult children's lives.",26482075,2017,Adult Children's Problems and Mothers' Well-Being.
584,"Older adults with arthritis or joint pain were targeted for a pilot program enhancing the Arthritis Foundation Exercise Program with the 10 Keys™ to Healthy Aging Program. Using a one-group, pre-post design, feasibility was examined and improvements in preventive behaviors, arthritis outcomes, and cardiometabolic outcomes were explored. A 10-week program was developed, instructors were recruited and trained, and four sites and 51 participants were recruited. Measures included attendance, adherence, satisfaction, preventive behaviors, Western Ontario and McMaster Universities Osteoarthritis Index (pain and stiffness), glucose, and cholesterol. Three fourths of participants attended >50% of the sessions. At 6 and 12 months, more than one half performed the exercises 1 to 2 days per week, whereas 28% and 14% exercised 3 to 7 days per week, respectively. Participants (92%) rated the program as excellent/very good. Nonsignificant changes were observed in expected directions. Effect sizes were small for arthritis and cardiometabolic outcomes. This program engaged community partners, demonstrated feasibility, and showed improvements in some preventive behaviors and health risk profiles. [Res Gerontol Nurs. 2016; 9(3):123-132.].",26501346,2016,Pilot Enhancement of the Arthritis Foundation Exercise Program with a Healthy Aging Program.
585,"INTRODUCTION
Some studies alerted for the burden of suicidal attempters at emergency rooms. In this study we characterized the suicidal patients admitted to a Portuguese emergency room.


MATERIAL AND METHODS
For three years, all patients assessed by the first author after suicidal behaviour were included. Suicidal intentionality was evaluated with the Pierce Suicide Intent Scale. Clinical records were searched for follow-up status and satisfaction level was assessed through telephone call.


RESULTS
From 120 included patients 70.8% were female, with mean age of 42.35 years. Pierce Suicide Intent Scale suicidal intentionality was low in 30.1%, medium in 59.3%, and high in 10.6% of the sample. The most important predictors of Pierce Suicide Intent Scale intentionality were male gender (p < 0.001), family history of suicide (p < 0.01), divorced or widowed marital status (p < 0.013), and severe mental illness (p < 0.015). In 41.6% of the patients the follow-up status was unknown. Regarding satisfaction, only 19.5% gave a valid answer: 2.7% 'mildly satisfied', 4.4% 'moderately satisfied', and 12.5% 'very satisfied'.


DISCUSSION
The Pierce Suicide Intent Scale is useful on suicidal behavior assessment at emergency rooms. Highly intentional suicidal behaviour is related to male sex, social problems and personal and familial psychiatric history.


CONCLUSION
The quality of administrative records on this psychiatric emergency room setting are still unacceptable. The most important variables correlated with higher suicidal intentionality are the same described in other countries. Of the reachable patients, one fifth was satisfied with provided follow-up. We still need studies for better understanding of suicidal behaviour observed on this Portuguese emergency room.",26574982,2015,Assessment of Suicidal Behavior in a Psychiatric Emergency Room in Lisbon.
