,abstract,country,journal,pmid,pubdate,title,psyc
11,"Bone morphogenetic protein 2 (BMP-2) is a potent inducer of bone formation that is currently used in a limited number of clinical indications to treat extensive bone loss. Extending the field of applications of this molecule requires design of the delivery system to protect the protein from early degradation and allow a slow long-term release. This study describes the use of a non-polymer hydrogel, based on the self-assembly of small amphiphilic glycosyl-nucleolipids into micellar structures, as a new type of delivery system for BMP-2. BMP-2 was readily encapsulated in glycosyl-nucleosyl-fluorinated (GNF)-based gels and slowly released in vitro, while maintaining its osteogenic activity. When hydrogel pieces containing fluorophore-tagged BMP-2 were deposited onto a calvaria defect in mouse, the signal detected in living mice gradually decreased and was still detectable at 3Â weeks. Gel-embedded protein promoted significant calvarial bone defect regeneration at 8Â weeks after surgery. In contrast, when a solution of BMP-2 without hydrogel was injected into the defects, the fluorescence signal decreased rapidly and no significant bone formation was observed. The unique property of the GNF-based hydrogel as an injectable delivery system for low doses of BMP-2 was revealed in a subcutaneous model of ectopic bone formation. Injected BMP-2-laden GNF hydrogel blocks elicited the formation of cancellous bone, showing all the typical features of remodeling bone that contains bone marrow. These results show that this GNF-based hydrogel is an easy-to-use, efficient delivery system for BMP-2 and osteogenic material to support bone regeneration.",United States,Drug delivery and translational research,29192408,2017,Prolonged delivery of BMP-2 by a non-polymer hydrogel for bone defect regeneration.,n
13,"OBJECTIVE
A number of programs representing virtual patients for use in teaching settings have been developed in the field of psychiatry; however, they simulate only the interview process, not the entire scope of treatment. The authors have developed software through which students can experience the practice of psychiatry (in particular, with dementia patients) in its entirety. This study compares this software with conventional learning methods.


METHOD
The control group was 43 fifth-year medical students in 2014 who studied using a conventional learning method (taking lectures and being in contact with actual patients). The experimental group was 36 fifth-year medical students in 2015 that used computer software (taking lectures and with reduced time in contact with actual patients). The authors compared the two groups. Each group was tested before and after clinical training on their acquisition of knowledge of dementia. The control group was tested in 2014, and the experimental group was tested in 2015.


RESULTS
The difference in average test scores between the two groups was statistically significant (pâ€‰=â€‰0.01), with the experimental group scoring higher.


CONCLUSIONS
The results indicate that students who were taught using a computer-based software method were better able to answer a standard series of questions designed to evaluate their understanding of dementia than those who were taught in a conventional manner. This study demonstrated that there is a possibility to improve education in the field of psychiatry using a comprehensive clinic simulator.",United States,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry,29192410,2017,Simulating Clinical Psychiatry for Medical Students: a Comprehensive Clinic Simulator with Virtual Patients and an Electronic Medical Record System.,y
14,"Neuregulin 4 (NRG4) is an adipokine that is synthesized in many tissues and has been shown to be associated with the development of obesity and metabolic disorders in animals and humans. The aim of this study is to investigate the relationship between serum NRG4 levels and various metabolic parameters in women with PCOS. This cross-sectional study included 40 women with PCOS and 40 age- and BMI-matched controls without PCOS. NRG4, fasting blood glucose (FBG), insulin, hs-CRP, LDL-C, HDL-C, SHBG, DHEA-SO4 and total-testosterone levels were measured in all the participants. HOMA-IR was used to calculate the insulin resistance. Serum NRG4 levels were higher in women with PCOS than in healthy women (24.89 Â± 9.32 [ng/mL] vs. 18.98 Â± 6.40 [ng/mL], p = 0.002). FBG, LDL-C, HDL-C, LH, SHBG, FAI, DHEA-SO4, insulin, hs-CRP, HOMA-IR and total-testosterone levels were significantly higher in women with PCOS than controls. Circulating NRG4 levels were positively correlated with HOMA-IR, insulin and hs-CRP for both groups. There was a positive correlation between NRG4 and FBG in the PCOS group. HOMA-IR and hs-CRP were associated with NRG4. The high concentration of circulating NRG4 in PCOS may be associated with insulin resistance and low-grade chronic inflammation.",Poland,Ginekologia polska,29192411,2017,Increased serum neuregulin 4 levels in women with polycystic ovary syndrome: A case-control study.,n
15,"OBJECTIVES
To assess the safety and efficacy of electrosurgical bipolar vessel sealing during vaginal hysterectomy in morbidly obese patients MATERIAL AND METHODS: A total of 105 morbidly obese patients who underwent vaginal hysterectomy due to benign gynecologic pathologies between January 2010 and April 2017 were included in the study. Patients were divided into two groups according to whether conventional suture ligation technique (n = 64) or electrosurgical bipolar vessel sealing (n = 41) were used during vaginal hysterectomy. The surgical procedure was performed with the same technique in both study groups. The primary outcomes were duration of surgery and estimated blood loss. The secondary outcomes were intra-operative complications and post-operative complications.


RESULTS
The duration of surgery and estimated blood loss in the vessel sealing group was significantly less than in the conventional suture group (p < 0.05). No significant difference was present between the two groups in the rate of intra-operative and post-operative complications.


CONCLUSIONS
The primary outcome of our study is that the EBVS system can be used equally and even more effectively in some aspects; and as safe an alternative approach to conventional suture ligation technique during vaginal hysterectomies performed specifically on morbidly obese patients with reduced operation times and blood loss, and without increasing the complication rates.",Poland,Ginekologia polska,29192412,2017,Safety and efficacy of using advanced electrosurgical bipolar vessel sealing during vaginal hysterectomy in morbidly obese patients: a retrospective cohort analysis.,n
16,"OBJECTIVES
Triple-negative breast cancer (TNBC) is an aggressive subtype of breast cancer with limited treatment options and poor prognosis. TNBC is usually diagnosed at a relatively young age and is characterized by high risk of developing metastases. Some epigenetic regulation of gene expression is associated with TNBC. Expression of microRNAs (miRNAs) can serve as a potential tool for identifying critical biomarkers in TNBC. The aim of our study is to examine expression of selected miRNAs in TNBC and to assess the relationship between miRNA expression and clinicopathological factors.


MATERIAL AND METHODS
Expression levels of 19 selected miRNAs were compared between cancerous and normal breast tissues by use of qPCR method. We have evaluated the relationship between the expression level of miRNAs and clinicopathological factors such as: age, tumor size and lymph node status.


RESULTS
We found that in TNBC tissues, when compared with normal breast tissues, the expression of miR-190a, miR- 136-5p and miR-126-5p was significantly reduced (p = 0.0041, p = 0.0007, p = 0.0007, respectively) whereas expression of miR-135b-5p and miR-182-5p was significantly increased (p = 0.0194, p = 0.0041, respectively). We found a linear trend for tumor size and expression of miR-126-5p (p = 0.0296) and miR-135b-5p (p = 0.0241).


CONCLUSIONS
Our study confirms that miRNA expression profile is dysregulated in TNBC patients compared to healthy controls. MiR-190a, miR-136-5p, miR-126-5p, miR-135b-5p and miR-182-5p may be associated with development and progression of TNBC.",Poland,Ginekologia polska,29192413,2017,Dysregulation of microRNAs in triple-negative breast cancer.,n
17,"OBJECTIVES
The aim of this study is to evaluate the results of advanced stage (stage IIIB-IVB) ovarian cancer (OC) patients with intestinal metastasis, and to investigate the factors that affect survival.


MATERIAL AND METHODS
Patients who underwent cytoreductive surgery (CS) for FIGO stage IIIB-IVB OC with metastasis in the intestinal system, at Tepecik Research and Treatment Hospital between 2008-2014, were analyzed retrospectively. Patients with borderline ovarian tumor; those who had previously undergone radiation therapy and/or hysterectomy and patients having secondary or tertiary cytoreduction were excluded and 49 patients were included and analyzed in this study. Hysterectomy, bilateral salpingo-oopherectomy, pelvic and para-aortic lymph node sampling, resection of bulky lymph nodes and omentectomy were performed. Optimal cytoreduction was accepted as that which left residual tumor â‰¤ one cm maximum size.


RESULTS
The risk factors affecting OS interval were investigated according to Cox' regression analysis. Optimality of the primary CS (P = 0.008 and HR = 5.202) and cancer stage (P = 0.016 and HR = 6.083) were found to be statistically significant factors.


CONCLUSIONS
Achieving optimal CS is the most important aim for the general surgeon carrying out an intestinal resection procedure. Although resection procedures are superior in providing the desired optimal results when compared to excision surgery, their higher complication rates and subsequent lower quality of life must be taken into consideration when choosing either resection or excision methods; surgical intervention should always be kept to the minimum possible.",Poland,Ginekologia polska,29192414,2017,Outcomes of patients with advanced stage ovarian cancer with intestinal metastasis.,n
18,"OBJECTIVES
Downregulation of DIRAS3 (DIRAS family, GTP-binding Ras-like 3) is related to ovarian and breast cancer progression. A possible mechanism that silences this gene is the promoter region DNA methylation. The potential reversibility of this epigenetic mechanism makes it more attractive candidate for new mode of cancer treatment. DIRAS3 regulates cell cycle, tumor dormancy and inhibits cancer cell growth and motility, all of which may indirectly depend on interaction with STAT3 (Signal Transducer and Activator of Transcription 3) classified as a potential oncogene. The restoration of DIRAS3 expression could inhibit cell proliferation and invasiveness.


MATERIAL AND METHODS
Human ovarian carcinoma cell line (A2780) and human breast cancer cell line (MCF7) were exposed to two DNA methyltransferase inhibitors (DNMTi): decitabine (5-aza-2'-deoxycytidine) [25 Î¼M and 12.5 Î¼M] and RG108 [150 Î¼M and 100 Î¼M]. In vitro migration changes of cancer cells were examined with wound healing assay. After 7 days of DNMTi treatment cells were harvested and DNA and RNA was isolated. The methylation status of the promoter sequences of DIRAS3 and STAT3 genes was determined using methylation specific PCR (MS-PCR). Level of target genes' expression was quantified using quantitative reverse transcription PCR (QRT-PCR).


RESULTS AND CONCLUSIONS
The in vitro wound healing assay showed changes in the migration rate of both adherent cell lines after DNMTi treatment compared to the untreated cells. Relative balance between methylated and unmethylated variants of DIRAS3 after MS-PCR was shifted towards unmethylated version after DNMTi treatment in A2780 cells. Statistically significant dose dependent effect of decitabine and RG108 on DIRAS3 expression in A2780 cells was observed.",Poland,Ginekologia polska,29192415,2017,DNA methyltransferase inhibitors influence on the DIRAS3 and STAT3 expression and in vitro migration of ovarian and breast cancer cells.,n
19,"OBJECTIVES
To investigate the possible association of vasculogenic mimicry (VM), VE-cadherin and MIG-7 expression with clinicopathological features of women with malignant ovarian masses.


MATERIAL AND METHODS
VM was studied with the PAS reaction and VE-cadherin was assessed with immunohistochemistry in 108 women with malignant ovarian tumors. Additionally, quantitative expression of MIG-7 mRNA was performed in 52 ovarian cancers with qRT-PCR.


RESULTS
VM was found in 48/108 cases (44%), more often in higher FIGO stage tumors (83% cases; 40 vs. 8; p = 0.01). High expression of VE-cadherin was present in 37% of all ovarian masses. Ovarian tumors without VM more often expressed low levels of VE-cadherin than tumors where VM was found (37.6% vs.14.6%). No expression or very low expression of MIG-7 mRNA was found in all normal ovarian tissues and in 32 cancer samples. Median RQ of MIG-7 mRNA in tumor samples was higher than in normal ovarian tissue (RQ = 0.29 vs. RQ = 0.05, respectively; p < 0.005) and higher than in non-malignant ovarian masses (0.98 vs. 0.05 respectively; p = 0.03). Expression of MIG-7 mRNA was significantly correlated with VM (p = 0.039). In tumors with PAS-positive structures median RQ MIG-7 mRNA was higher than in tumors with PAS-negative findings (1.89 vs. 0.13 respectively). VE-cadherin expression was more frequently found in tumors where MIG-7 mRNA was present (p = 0.004).


CONCLUSIONS
Vasculogenic mimicry exists in malignant ovarian tumors and advanced clinical stages of malignancy are accompanied by a high incidence of VM formation. MIG-7 mRNA and VE-cadherin expression may serve as additional molecular markers of VM in ovarian malignancies.",Poland,Ginekologia polska,29192416,2017,Mig-7 expression and vasculogenic mimicry in malignant ovarian tumors.,n
20,"Although hysteroscopy is currently the undisputed gold standard for the examination of the uterine cavity in women with suspected endometrial cancer, it remains controversial as a procedure that can enhance metastasis spread. Endometrial cancer cells may shed during hysteroscopy and be passively transported with fluid flow into the peritoneal cavity. The paper presents the review of current knowledge regarding the risk of neoplasm metastases in women who had diagnostic hysteroscopy and the conditions that have to be met for the procedure to be safe. We searched PubMed, Ovid, Medline and Scopus databases for data published in the years 1985-2017. The following browsing criteria, the ""MeSH headings"": hysteroscopy, endometrial cancer, intraperitoneal or metastatic spread were used to find relevant papers. Based on the current data analysis we conclude that (1.) diagnostic hysteroscopy performed in women with endometrial cancer, especially in its early stages, is a very useful, efficient and safe diagnostic method and (2.) the distension media used for endoscopic procedures in the uterine cavity must be strictly controlled for relatively low pressures to prevent the increase in risk of endometrial cancer intraperitoneal spread.",Poland,Ginekologia polska,29192417,2017,Diagnostic hysteroscopy and the risk of malignant cells intraabdominal spread in women with endometrial cancer.,n
21,"The social aspect of overactive bladder syndrome (OAB) and the lack of objective diagnostic methods for this syndrome have spurred research into its potential biomarkers which can constitute useful diagnostic tools, while also allowing the evaluation of the intensity of clinical symptoms and the efficacy of implemented pharmacotherapy in OAB patients. Due to the complex etiopathogenesis of this syndrome, the researchers are seeking biomarkers connected with inflammation or nerve growth. The aim of this review was to analyse the latest literature data regarding potential biomarkers in OAB. The most promising opportunities are connected with the diagnostic use of the nerve growth factor (NGF), the brain derived neurotrophic factor (BDNF), C-reactive protein (CRP), prostaglandins and cytokines. Despite the most promising results to date having been obtained with regards to neurotrophic factors, it seems that, at the moment, none of these meets the criteria for becoming an isolated OAB marker. It is also suggested that the combined use of several biomarkers will facilitate obtaining the appropriate level of specificity and selectivity to allow their use in clinical practice.",Poland,Ginekologia polska,29192418,2017,Novel biomarkers of overactive bladder syndrome.,n
22,Malaria is one of the most common lethal parasitic diseases. Infection is transmitted when an infected female mosquito bites a human introducing the sporozoites into human blood. The article presents the course of pregnancy and delivery in a patient complicated by Plasmodium infection. The patient had repetitive several trips to Tanzania over a short time period before she developed the condition. She had been taking antimalarial medication (proguanil-atovaquone) in a prophylactic dose during and after her first travel to Tanzania. Following her first return to Poland she experienced infection-related symptoms.,Poland,Ginekologia polska,29192419,2017,The course of pregnancy and delivery in a patient with malaria.,n
23,"Adrenocortical carcinoma is a rare tumour with high malignancy and poor prognosis. This tumour is rarely diagnosed in the reproductive age. Complete surgical resection is the only curative treatment for adrenal cancer in all stages. After surgery adjuvant chemotherapy is required. Mitotane is the most important drug in adrenal cancer chemotherapy. Mitotane's mode of action is not entirely explained. Animal studies have shown that the substance exerts a direct cytotoxic effect on the cells of the adrenal cortex. This activity is selective, progressive and affects only the zona reticularis and fasciculata of the adrenal cortex. Mitotane inhibits cortisol synthesis by disrupting the chain of cholesterol. It has been suggested, that mitotane also affects the peripheral metabolism of steroids, especially of transcortin (CBG). This results in an increase of CBG blood concentration and a reduction of the amount of free hormones.",Poland,Ginekologia polska,29192420,2017,Use of a levonorgestrel-releasing intrauterine device for menorrhagia treatment during adjuvant therapy of adrenocortical carcinoma with mitotane.,n
24,"BACKGROUND
Although critical care ultrasound (CCUS) in the Intensive Care Unit has been increasing exponentially for diagnostic and therapeutic purposes, the lack of a uniform formal training structure and programme has posed the question of whether scans have been appropriately performed or reported, and whether there exists proper clinical governance to ensure a high standard of care.


METHODS
An online survey was sent to the representatives of various national intensive care societies via the European Society of Intensive Care Medicine CoBaTrICE committee. A comparison between 5 worldwide accreditation programmes was also made.


RESULTS
Twenty-seven out of 42 countries replied our survey. Five countries had a nationally accredited programme in ICM Echocardiography while six were in the process of developing one. Three countries had a CCUS-accredited programme. Most had local programmes. Transthoracic echocardiography, lung and vascular ultrasound were considered essential. Although CCUS training programmes should incorporate a combination of theoretical and practical teaching, it is not clear which is the best format. The main barriers to delivering CCUS training included a lack of formally agreed competencies, as well as a lack of trainers and time. There is also a lack of agreement between the five accreditation programmes.


CONCLUSIONS
There is a need for a well-structured and competent CCUS training program. The use of ultrasound in critical care for diagnostic and therapeutic purposes has been increasing exponentially. Once the remit of radiologists and cardiologists, point-of-care ultrasound and focused echocardiography is becoming an increasingly routine instrument for all acute specialties including intensive care medicine, despite the lack of evidence that it improves patient mortality in the ICU setting.",Poland,Anaesthesiology intensive therapy,29192421,2017,The state of critical care ultrasound training in Europe: A survey of trainers and a comparison of available accreditation programmes.,n
