,abstract,pmid,pubdate,title
287,"As the population of immigrant Latino students continues to rise, school psychologists serving Latino children and families must develop the knowledge and skills necessary to provide high-quality psychological services to culturally and linguistically diverse students from immigrant families. Following a review of the relevant literature on the educational, social, and emotional needs of immigrant Latino children, we describe Project SUPERB (Scholars Using Psychology and Education to Reach Bilinguals), a grant-funded initiative to address the shortage of bilingual (Spanish-English) school psychologists. We discuss important issues regarding training and preparation to develop the competencies necessary for effective assessment, intervention, and collaboration in the context of school settings to help immigrant children achieve success. Finally, we identify ways in which school psychologists may adopt a leadership role in working with schools and families to promote positive outcomes. (PsycINFO Database Record",26551253,2016,Latino immigration: Preparing school psychologists to meet students' needs.
288,"This study aimed to explore the role of school engagement and the mediation effect of acculturation in predicting 1.5 and second-generation migrant adolescents' mental health and risk behaviors. Participants included 448 seventh to tenth grade Israeli students (mean age 14.50, 53% boys): 128 non-Jewish 1.5 generation migrant adolescents (children of migrants living in Israel), 118 second-generation migrants (children of migrants born and living in Israel), and an age-matched sample of 202 native-born Jewish adolescents. All participants completed a battery of questionnaires assessing mental health symptoms, engagement in risk behaviors, social adjustment, and school engagement. Both migrant adolescent groups also completed an acculturation questionnaire. Differences between groups in school engagement, mental health symptoms, and risk behavior were examined, and structural equation modeling (SEM) was used to investigate the hypothesized mediating effect of acculturation. Findings revealed substantially higher levels of mental health symptoms (p < .001) and risk behaviors (p = .001) among 1.5 and second-generation migrant adolescents compared with native-born adolescents, with no significant differences between 1.5 generation and second-generation migrants. Migrants' age and gender were associated with mental health symptoms and risk behaviors-older participants engaged in more risk behaviors (p = .02), and females had elevated mental health symptoms (p = .007). Identification with the host country mediated the relationships between school engagement and mental health symptoms (ps .006 and .008) and risk behaviors (ps .001 and .004) in 1.5 generation and second-generation migrants, respectively. The results are discussed in reference to current theories and research, as well as practical implications for prevention and intervention. (PsycINFO Database Record",26551252,2016,"School engagement, acculturation, and mental health among migrant adolescents in Israel."
289,"The purpose of this study was to examine the relationship between inattention, academic enabling behaviors (i.e., motivation, engagement, and interpersonal skills), and early literacy outcomes. Kindergarten students (N = 181; 55.2% male; 62% white) from two research sites (Southeastern U.S. and Eastern Canada) were assessed using the Letter Naming and Letter Sound Fluency AIMSweb Tests of Early Literacy (Shinn & Shinn, 2012) at three points across the school year. Their teachers provided information on the level of attention-deficit/hyperactivity disorder symptoms (ADHD Symptom Checklist-4; Gadow & Sprafkin, 2008) and academic enabling behaviors (Academic Competence Evaluation Scales; DiPerna & Elliott, 2000). Structural equation modeling (SEM) was used to determine predictors of initial level and growth in early literacy. Specifically, a series of models were tested to determine if a multidimensional model of academic enablers (AEs) mediated the relationship. Engagement predicted students' initial levels of early literacy, suggesting that this is an important mediator to consider between inattention and early literacy skills. Motivation related positively to engagement. Inattention also predicted both motivation and interpersonal skills in the negative direction. These findings suggest that AEs play an important role in the relationship between inattention and early literacy. AEs provide malleable targets for intervention and should be considered when developing intervention for youth at risk for academic failure. (PsycINFO Database Record",26551254,2016,Understanding the relationship between inattention and early literacy trajectories in kindergarten.
336,"Prenatal stress and overexposure to glucocorticoids (GC) during development may be associated with an increased susceptibility to a number of diseases in adulthood including neuropsychiatric disorders, such as depression and anxiety. In animal models, prenatal overexposure to GC results in hyper-responsiveness to stress in adulthood, and females appear to be more susceptible than males. Here, we tested the hypothesis that overexposure to GC during fetal development has sex-specific programming effects on the brain, resulting in altered behaviors in adulthood. We examined the effects of dexamethasone (DEX; a synthetic GC) during prenatal life on stress-related behaviors in adulthood and on the tryptophan hydroxylase-2 (TpH2) gene expression in the adult dorsal raphe nucleus (DRN). TpH2 is the rate-limiting enzyme for serotonin (5-HT) synthesis and has been implicated in the etiology of human affective disorders. Timed-pregnant rats were treated with DEX from gestational days 18-22. Male and female offspring were sacrificed on the day of birth (postnatal day 0; P0), P7, and in adulthood (P80-84) and brains were examined for changes in TpH2 mRNA expression. Adult animals were also tested for anxiety- and depressive- like behaviors. In adulthood, prenatal DEX increased anxiety- and depressive- like behaviors selectively in females, as measured by decreased time spent in the center of the open field and increased time spent immobile in the forced swim test, respectively. Prenatal DEX increased TpH2 mRNA selectively in the female caudal DRN at P7, whereas it decreased TpH2 mRNA selectively in the female caudal DRN in adulthood. In animals challenged with restraint stress in adulthood, TpH2 mRNA was significantly lower in rostral DRN of prenatal DEX-treated females compared to vehicle-treated females. These data demonstrated that prenatal overexposure to GC alters the development of TpH2 gene expression and these alterations correlated with lasting behavioral changes found in adult female offspring.",26844389,2016,Sex-dependent programming effects of prenatal glucocorticoid treatment on the developing serotonin system and stress-related behaviors in adulthood.
388,"It is thought that rewarding experiences with drugs create strong contextual associations and encourage repeated intake. In turn, repeated exposures to drugs of abuse make lasting alterations in the brain function of vulnerable individuals, and these persistent alterations likely serve to maintain the maladaptive drug seeking and taking behaviors characteristic of addiction/dependence(2). In rodents, reward experience and contextual associations are frequently measured using the conditioned place preference assay, or CPP, wherein preference for a previously drug-paired context is measured. Behavioral sensitization, on the other hand, is an increase in a drug-induced behavior that develops progressively over repeated exposures. Since sensitized behaviors can often be measured after several months of drug abstinence, depending on the dose and length of initial exposure, they are considered observable correlates of lasting drug-induced plasticity. Researchers have found these assays useful in determining the neurobiological substrates mediating aspects of addiction as well as assessing the potential of different interventions in disrupting these behaviors. This manuscript describes basic, effective protocols for mouse CPP and locomotor behavioral sensitization to cocaine.",26967472,2016,Assessment of Cocaine-induced Behavioral Sensitization and Conditioned Place Preference in Mice.
419,"The recruitment of culturally and linguistically diverse students to graduate programs is critical to the overall growth and development of school psychology as a field. Program websites serve as an effective recruitment tool for attracting prospective students, yet there is limited research on how school psychology programs use their websites to recruit diverse students. The purpose of this study was to evaluate whether school psychology program websites include sufficient levels of diversity-related content critical for attracting diverse applicants. The website content of 250 professional psychology programs (165 school psychology training programs and 85 clinical and counseling psychology programs) were examined for the presence of themes of diversity and multiculturalism that prospective racially/ethnically and linguistically diverse students deem important for selecting a graduate program. Results indicated that school psychology programs had less diversity-related content on their program's website relative to clinical and counseling psychology programs.' Implications for improving recruitment of racially/ethnically and linguistically diverse students through websites are discussed. (PsycINFO Database Record",27054285,2016,Promoting diversity through program websites: A multicultural content analysis of school psychology program websites.
450,"The purpose of the present study was to assess the efficacy of a culturally adapted version of the Strong Start intervention program on the social-emotional outcomes of African American male students. Externalizing behavior problems of children, specifically African American males, are of great concern for schools. Punitive discipline polices such as expulsion and suspension have proved to be ineffective and harmful. Consequently, school-based social-emotional learning (SEL) interventions have been proposed to teach children coping skills that can help them increase positive social behaviors and emotional regulation. Sixty-one African American male students enrolled in an urban elementary school participated in this intervention. This study employed a randomized delayed treatment control design. Results indicated positive effects in the areas of self-regulation and self-competence. However the intervention did not have an impact on student's empathy, responsibility, or externalizing behavior. Implications are discussed in terms of developing culturally relevant school-based interventions for African American males. (PsycINFO Database Record",27124505,2017,Examining the effectiveness of a culturally adapted social-emotional intervention for African American males in an urban setting.
518,"Immigration into the United States is a particularly salient topic of current contemporary educational, social, and political discussions. The school-related needs of immigrant children and youth can be well served by rigorous research and effective school psychology preservice training and preparation. This overview highlights key definitions, demographic statistics, and current resources related to immigration in U.S. society. This special topic section on understanding immigrants, schooling, and school psychology features articles relevant to this important topic. We conclude with a call for this effort to serve as a springboard for future discussions, scholarship, and school psychology training in preparing practitioners for serving children who are immigrants. (PsycINFO Database Record",27243240,2016,"Understanding immigrants, schooling, and school psychology: Contemporary science and practice."
519,"Family stressors predict negative psychological outcomes for immigrant adolescents, yet little is known about how such stressors interact to predict school outcomes. The purpose of this study was to explore the interactive role of family stressors on school outcomes for newcomer adolescent immigrants. Using a convergent parallel mixed-methods design, we used quantitative methods to explore interactions between family separation, acculturative family conflict, and family life events to predict 2 school outcomes, academic achievement (via grade point average [GPA]), and externalizing problems (student- and teacher-reported). The sample included 189 newcomer immigrant public high school students from 34 countries of origin. Quantitative measures included the Multicultural Events Scale for Adolescents, Family Conflicts Scale, and the Achenbach System of Empirically Based Assessment (ASEBA). Qualitative data were collected through a semi-structured interview. Quantitative results found that more family life events were associated with lower GPA, but this association was weaker for participants who had been separated from their parents. More family conflict was associated with more externalizing symptoms (both youth- and teacher-reported). However, the association between family conflict and teacher-reported externalizing symptoms was found only among participants reporting a greater than average number of life events. Qualitative results show that separation from extended family networks was among the most stressful of experiences, and demonstrate the highly complex nature of each family stressor domain. At a time when immigration is rapidly changing our school system, a better understanding of early risk factors for new immigrants can help teachers, administrators, and mental health practitioners to identify students with greatest need to foster behavioral, academic, and emotional well-being. (PsycINFO Database Record",27243242,2016,Newcomer immigrant adolescents: A mixed-methods examination of family stressors and school outcomes.
521,"Given the steady increase of students from diverse backgrounds in the U.S. educational system, in particular immigrant and Latino students, it is important to consider how to best support all students within our schools. The present study focuses on the Behavior Assessment System for Children-Second Edition (BASC-2) Behavioral and Emotional Screening System (BESS) Parent Spanish form, which is a promising assessment tool for those who are interested in screening for behavioral and emotional risk among Spanish-speaking populations. The present study included 725 students of Latino descent in Grades K-6 in an urban school district and their parents or legal guardians, who served as the informants. All parents completed the BESS language form (English or Spanish) of their choice. A confirmatory factor analysis (CFA) supported a 4-factor structure (Externalizing, Internalizing, Inattention, and Adaptive Skills) similar to that of the BESS Parent English form: χ2(77) = 248.06, p < .001; CFI = 0.903; TLI = 0.940. However, differential item functioning (DIF) analyses revealed 5 items (16.7%) demonstrated significant levels of DIF, with 4 of the 5 being easier to endorse in English. This study provides preliminary evidence of partial invariance of the BESS Parent across language forms. Although some evidence of invariance across language forms at the structural and item levels exists, more research is necessary to determine whether the DIF found in the present study results in any perceptible test bias. (PsycINFO Database Record",27243244,2016,Factor structure and differential item functioning of the BASC-2 BESS Spanish Language Parent Form.
524,"School psychology trainers have historically struggled to adequately increase the number of professionals from diverse backgrounds. An increase in diverse providers is important in meeting the needs of a burgeoning racial/ethnic minority student population. Previous research suggests that minority undergraduate psychology students have less knowledge and exposure to school psychology than for counseling and clinical psychology, and that students with greater exposure or knowledge of school psychology reported significantly greater choice intentions for school psychology. The purpose of this study is to test the applicability of the Social Cognitive Career Theory (SCCT; Lent, Brown, & Hackett, 1994) in explaining minority undergraduate psychology students' choice intentions for school psychology. This study is an analysis of existing data and is based on a national sample of 283 minority undergraduate psychology students. All instruments used in this study were found to have internal consistency ranging from .83 to .91. Students' learning experiences, self-efficacy, outcome expectations, and choice intentions for school psychology were evaluated by way of a mediator analysis. Results from a path analysis suggest that outcome expectations mediated the relationship between exposure and choice intentions for school psychology. Implications for minority recruitment practices are discussed. (PsycINFO Database Record",27243246,2016,Investigation of social cognitive career theory for minority recruitment in school psychology.
527,"Shortages of school psychologists and the underrepresentation of minorities in school psychology represent longstanding concerns. Scholars recommend that one way to address both issues is to recruit individuals from racially and ethnically diverse backgrounds into school psychology. The purpose of this study was to explore the characteristics and minority focused findings of school psychology recruitment studies conducted from 1994 to 2014. Using an electronic search that included specified databases, subject terms and study inclusion criteria along with a manual search of 10 school psychology focused journals, the review yielded 10 published, peer-reviewed recruitment studies focused primarily on school psychology over the 20-year span. Two researchers coded these 10 studies using a rigorous coding process that included a high level of inter rater reliability. Results suggest that the studies utilized varied methodologies, primarily sampled undergraduate populations, and mostly included White participants. Five studies focused on minority populations specifically. These studies indicate that programs should actively recruit minority undergraduates and offer financial support to attract minority candidates. Implications suggest a need for more recruitment research focused on minority populations and the implementation and evaluation of minority recruitment models. (PsycINFO Database Record",27253497,2016,School psychology recruitment research characteristics and implications for increasing racial and ethnic diversity.
536,"In this study, generalizability theory was used to examine the extent to which (a) time-sampling methodology, (b) number of simultaneous behavior targets, and (c) individual raters influenced variance in ratings of academic engagement for an elementary-aged student. Ten graduate-student raters, with an average of 7.20 hr of previous training in systematic direct observation and 58.20 hr of previous direct observation experience, scored 6 videos of student behavior using 12 different time-sampling protocols. Five videos were submitted for analysis, and results for observations using momentary time-sampling and whole-interval recording suggested that the majority of variance was attributable to the rating occasion, although results for partial-interval recording generally demonstrated large residual components comparable with those seen in prior research. Dependability coefficients were above .80 when averaging across 1 to 2 raters using momentary time-sampling, and 2 to 3 raters using whole-interval recording. Ratings derived from partial-interval recording needed to be averaged over 3 to 7 raters to demonstrate dependability coefficients above .80. (PsycINFO Database Record",27280360,2017,Dependability of data derived from time sampling methods with multiple observation targets.
549,"Reports an error in ""A process view on implementing an antibullying curriculum: How teachers differ and what explains the variation"" by Anne Haataja, Annarilla Ahtola, Elisa Poskiparta and Christina Salmivalli (School Psychology Quarterly, 2015[Dec], Vol 30[4], 564-576). In the article, there was an error in the abstract. The abstract incorrectly stated: “Finally, good lesson preparation and student engagement were associated with a higher levels of implementation throughout the school year (the high group). Neither participation in preimplementation training nor classroom management skills were related to 3 implementation profiles.” The statement about student engagement as a significant predictor was incorrect. The abstract should have stated: “Finally, good lesson preparation was associated with higher levels of implementation throughout the school year (the high group). Student engagement, participation in preimplementation training or classroom management skills were not related to 3 implementation profiles.” The online version of this article has been corrected. (The following abstract of the original article appeared in record 2015-16487-001.) The present study provides a person-centered view on teachers’ adherence to the KiVa antibullying curriculum over a school year. Factor mixture modeling was used to examine how teachers (N = 282) differed in their implementation profiles and multinomial logistic regression was used to identify factors related to these profiles. On the basis of lesson adherence across time, 3 types of implementers emerged: (a) high implementers (53%) started at a very high level and remained so over time, (b) moderate implementers (30%) consistently utilized more than half of the lesson material, and (c) surrenders (17%) started at a high level that soon declined. Teachers’ beliefs toward program effectiveness were positively associated with starting at higher levels of fidelity (high and surrenders), whereas principal support for antibullying work predicted maintaining the initial level of implementation over the school year (high and moderate). Finally, good lesson preparation and student engagement were associated with a higher levels of implementation throughout the school year (the high group). Neither participation in preimplementation training nor classroom management skills were related to 3 implementation profiles. The findings highlight the importance of individual and interpersonal factors for successful implementation of school-based bullying prevention programs.",27337645,2016,"A process view on implementing an antibullying curriculum: How teachers differ and what explains the variation"": Correction to Haataja et al. (2015)."
584,"For children with the most serious and persistent academic and behavior problems, parent involvement in education, particularly teacher perceptions of involvement, is essential to avert their expected long-term negative outcomes. Despite the widespread interest in and perceived importance of parent involvement in education, however, few experimental studies have evaluated programs and practices to promote it. In this group randomized trial, we examined the effects of the Incredible Years Teacher Classroom Management program (IY TCM) on teacher perceptions of contact and comfort with parents. One hundred five classrooms with 1818 students were randomly assigned to an IY TCM or to a control, business as usual condition. Measures of key constructs included teacher ratings of parent and student behaviors, direct observations in the classroom, and a standardized academic achievement test. Latent transition analysis (LTA) was used to identify patterns of involvement over time and to determine if intervention condition predicted postintervention patterns and transitions. Four patterns of involvement were identified at baseline and at follow-up; parents of students with academic and behavior problems were most likely to be in classes with the least adaptive involvement patterns. Intervention status predicted group membership at follow-up. Specifically, intervention classroom parents were significantly more likely to transition to more adaptive teacher-rated parenting profiles at follow-up compared to control classroom parents. This is the first randomized trial we are aware of that has found that teacher training can alter teacher perceptions of parent involvement patterns. Clinical implications for students with behavior and academic problems are discussed. (PsycINFO Database Record",27441549,2017,Improving teacher perceptions of parent involvement patterns: Findings from a group randomized trial.
621,"Why is there a need to increase the racial/ethnic diversity of faculty in school psychology? Chiefly, school psychologists serve the most racially/ethnically diverse population: children in US schools. Therefore, developing a knowledge base that is inclusive of this wide range of perspective as well as growing a workforce that is reflective of this diversity is essential to effective service delivery. To achieve this goal, school psychology trainers must develop evidence-based, purposeful efforts to recruit and retain racial/ethnic minority students in doctoral programs. For these reasons, we called for a special issue on diversifying the field of school psychology. The purpose of this special issue is to advance the evidence-base in school psychology on how to increase diverse scholars and leaders in the profession. Moreover, the goal is to also evaluate the status of the profession in effectively recruiting and retaining racial/ethnic minority graduate students, mentoring racial/ethnic minority students to pursue careers in academia, and promoting faculty development and retention of racially and ethnically diverse faculty. Thus, the articles in this special issue will address critical areas where trainers can improve recruitment and retention strategies that will increase the racial/ethnic diversity of school psychology faculty, leaders, and practitioners. (PsycINFO Database Record",27617533,2016,Diversification of school psychology: Developing an evidence base from current research and practice.
623,"There is a clear underrepresentation of Native Americans in the field of school psychology. There are a number of factors that have led to this underrepresentation, including cultural and historical variables, barriers to accessing higher educational opportunities, and lack of financial support. Given the importance of having diverse perspectives in the field, as well as the need for mental health services and academic supports for Native American children and their families, school psychology trainers should consider actively recruiting and retaining Native American graduate students to doctoral and specialist programs. This article provides specific research-based recommendations for recruiting Native American students and strategies for supporting their success and matriculation in the program. (PsycINFO Database Record",27617534,2016,Recruitment and retention of Native American graduate students in school psychology.
684,"PURPOSE OF REVIEW
Provision of adequate nutrients by the gut is essential for survival and essential behaviors are linked to the proper ingestion and digestion of food. Recently, a new neural connection has been reported between sensory cells of the gut epithelium and the nervous system that mediates signals from the gut to the brain.


RECENT FINDINGS
This review describes how the gut senses its environment, relays those signals to the brain, and how the brain influences the gut.


SUMMARY
This gut-brain connection provides a pathway for how the body handles food.",27820704,2017,Gastrointestinal hormones and the gut connectome.
